TITLE     = "Lower surface points for converging-diverging channel"
FROM https://turbase.cineca.it/init/routes/#/logging/view_dataset/39/tabmeta
VARIABLES = "X","Y"
0.00000000E+00 0.00000000E+00
8.18657968E-03 0.00000000E+00
1.63731594E-02 0.00000000E+00
2.45597400E-02 0.00000000E+00
3.27463187E-02 0.00000000E+00
4.09328975E-02 0.00000000E+00
4.91194800E-02 0.00000000E+00
5.73060587E-02 0.00000000E+00
6.54926375E-02 0.00000000E+00
7.36792162E-02 0.00000000E+00
8.18657950E-02 0.00000000E+00
9.00523812E-02 0.00000000E+00
9.82389599E-02 0.00000000E+00
1.06425539E-01 0.00000000E+00
1.14612117E-01 0.00000000E+00
1.22798696E-01 0.00000000E+00
1.30985275E-01 0.00000000E+00
1.39171854E-01 0.00000000E+00
1.47358432E-01 0.00000000E+00
1.55545011E-01 0.00000000E+00
1.63731590E-01 0.00000000E+00
1.71918169E-01 0.00000000E+00
1.80104762E-01 0.00000000E+00
1.88291341E-01 0.00000000E+00
1.96477920E-01 0.00000000E+00
2.04664499E-01 0.00000000E+00
2.12851077E-01 0.00000000E+00
2.21037656E-01 0.00000000E+00
2.29224235E-01 0.00000000E+00
2.37410814E-01 0.00000000E+00
2.45597392E-01 0.00000000E+00
2.53783971E-01 0.00000000E+00
2.61970550E-01 0.00000000E+00
2.70157129E-01 0.00000000E+00
2.78343707E-01 0.00000000E+00
2.86530286E-01 0.00000000E+00
2.94716865E-01 0.00000000E+00
3.02903444E-01 0.00000000E+00
3.11090022E-01 0.00000000E+00
3.19276601E-01 0.00000000E+00
3.27463180E-01 0.00000000E+00
3.35649759E-01 0.00000000E+00
3.43836337E-01 0.00000000E+00
3.52022946E-01 0.00000000E+00
3.60209525E-01 0.00000000E+00
3.68396103E-01 0.00000000E+00
3.76582682E-01 0.00000000E+00
3.84769261E-01 0.00000000E+00
3.92955840E-01 0.00000000E+00
4.01142418E-01 0.00000000E+00
4.09328997E-01 0.00000000E+00
4.17515576E-01 0.00000000E+00
4.25702155E-01 0.00000000E+00
4.33888733E-01 0.00000000E+00
4.42075312E-01 5.60382541E-05
4.50261891E-01 7.05890125E-05
4.58448470E-01 8.74151228E-05
4.66635048E-01 1.06663269E-04
4.74821627E-01 1.28480126E-04
4.83008206E-01 1.53012385E-04
4.91194785E-01 1.80406700E-04
4.99381363E-01 2.10809769E-04
5.07567942E-01 2.44370196E-04
5.15754521E-01 2.81244720E-04
5.23941100E-01 3.21592350E-04
5.32127678E-01 3.65571963E-04
5.40314257E-01 4.13342554E-04
5.48500836E-01 4.65063029E-04
5.56687415E-01 5.20892383E-04
5.64873993E-01 5.80989465E-04
5.73060572E-01 6.45513297E-04
5.81247151E-01 7.14623078E-04
5.89433730E-01 7.88478414E-04
5.97620308E-01 8.67238792E-04
6.05806887E-01 9.51063761E-04
6.13993466E-01 1.04011293E-03
6.22180045E-01 1.13454589E-03
6.30366623E-01 1.23452209E-03
6.38553202E-01 1.34020124E-03
6.46739781E-01 1.45173958E-03
6.54926360E-01 1.56927796E-03
6.63112938E-01 1.69295270E-03
6.71299517E-01 1.82289979E-03
6.79486096E-01 1.95925566E-03
6.87672675E-01 2.10215617E-03
6.95859313E-01 2.25173752E-03
7.04045892E-01 2.40813638E-03
7.12232471E-01 2.57148873E-03
7.20419049E-01 2.74194987E-03
7.28605628E-01 2.91969627E-03
7.36792207E-01 3.10490606E-03
7.44978786E-01 3.29775736E-03
7.53165364E-01 3.49842780E-03
7.61351943E-01 3.70709575E-03
7.69538522E-01 3.92393908E-03
7.77725101E-01 4.14913567E-03
7.85911679E-01 4.38285526E-03
7.94098258E-01 4.62522404E-03
8.02284837E-01 4.87635517E-03
8.10471416E-01 5.13635995E-03
8.18657994E-01 5.40535199E-03
8.26844573E-01 5.68344304E-03
8.35031152E-01 5.97074581E-03
8.43217731E-01 6.26737252E-03
8.51404309E-01 6.57343771E-03
8.59590888E-01 6.88909693E-03
8.67777467E-01 7.21456204E-03
8.75964046E-01 7.55004911E-03
8.84150624E-01 7.89577141E-03
8.92337203E-01 8.25194642E-03
9.00523782E-01 8.61878693E-03
9.08710361E-01 8.99650995E-03
9.16896939E-01 9.38532874E-03
9.25083518E-01 9.78543796E-03
9.33270097E-01 1.01969056E-02
9.41456676E-01 1.06197605E-02
9.49643254E-01 1.10540306E-02
